Raum,Von,Bis,Kapazität,Belegung,Durchschnitt
MUWO Schulungsraum1,09:30,12:00,16,2,0.125
MUWO Schulungsraum1,12:30,16:00,16,1,0.0625
MUWO R6 - Spain,08:00,10:00,8,1,0.125
MUWO R6 - Spain,13:30,14:00,8,2,0.25
MUWO R26 - Chile,09:30,11:00,8,6,0.75
MUWO R32 - Ukraine,09:30,12:00,12,3,0.25
MUWO R32 - Ukraine,14:30,15:00,12,6,0.5
MUWO R12 - Singapore,07:30,08:00,12,3,0.25
MUWO R12 - Singapore,10:00,11:30,12,2,0.166666666666667
MUWO R12 - Singapore,14:00,15:00,12,9,0.75
MUWO R12 - Singapore,15:00,15:30,12,7,0.583333333333333
MUWO R5 - Switzerland,08:00,08:30,6,3,0.5
MUWO R5 - Switzerland,09:30,11:00,6,8,1.33333333333333
MUWO R5 - Switzerland,11:00,12:00,6,2,0.333333333333333
MUWO R18 - Mexico,08:00,09:00,8,3,0.375
MUWO R18 - Mexico,10:00,11:30,8,1,0.125
MUWO R18 - Mexico,13:00,14:00,8,6,0.75
MUWO R18 - Mexico,14:00,15:30,8,2,0.25
MUWO R9A - New Zealand,10:00,11:00,10,16,1.6
MUWO R9A - New Zealand,13:00,15:00,10,1,0.1
MUWO R9A - New Zealand,15:00,18:00,10,2,0.2
MUWO R50 - Costa Rica,09:00,11:00,10,2,0.2
MUWO R50 - Costa Rica,11:00,12:00,10,4,0.4
MUWO R50 - Costa Rica,14:00,15:00,10,2,0.2
MUWO R50 - Costa Rica,15:00,16:00,10,3,0.3
MUWO R50 - Costa Rica,16:00,17:30,10,4,0.4
MUWO R24 - Indien,08:30,09:30,8,2,0.25
MUWO R24 - Indien,09:30,11:00,8,8,1
MUWO R24 - Indien,11:00,12:00,8,3,0.375
MUWO R24 - Indien,13:30,14:00,8,2,0.25
MUWO R24 - Indien,14:00,15:00,8,7,0.875
MUWO R24 - Indien,15:00,16:00,8,7,0.875
MUWO R3 - Belgium,07:00,08:30,12,7,0.583333333333333
MUWO R3 - Belgium,08:30,11:00,12,2,0.166666666666667
MUWO R3 - Belgium,11:00,12:00,12,11,0.916666666666667
MUWO R3 - Belgium,13:30,15:30,12,4,0.333333333333333
MUWO R10 - Italy,08:00,17:00,6,2,0.333333333333333
MUWO R8B - Global,08:30,09:30,20,2,0.1
MUWO R8B - Global,09:30,15:00,20,6,0.3
MUWO R1 - Great Britain,08:00,09:00,6,3,0.5
MUWO R1 - Great Britain,10:00,11:00,6,3,0.5
MUWO R1 - Great Britain,11:00,12:00,6,3,0.5
MUWO R1 - Great Britain,13:00,14:00,6,3,0.5
MUWO R1 - Great Britain,15:30,16:30,6,3,0.5
MUWO R13 - Japan,08:00,09:30,10,4,0.4
MUWO R13 - Japan,10:30,11:00,10,10,1
MUWO R13 - Japan,11:00,11:30,10,8,0.8
MUWO R13 - Japan,12:30,14:00,10,2,0.2
MUWO R13 - Japan,14:00,15:30,10,2,0.2
MUWO R16 - Canada,08:00,11:00,12,1,0.0833333333333333
MUWO R16 - Canada,11:00,17:00,12,2,0.166666666666667
MUWO R25 - Brazil,07:30,08:00,10,3,0.3
MUWO R25 - Brazil,11:00,11:30,10,5,0.5
MUWO R25 - Brazil,14:00,15:00,10,10,1
MUWO R8C - Global,09:00,15:00,20,1,0.05
MUWO R17 - USA,08:00,12:30,12,2,0.166666666666667
MUWO R17 - USA,12:30,13:30,12,6,0.5
MUWO R17 - USA,13:30,14:30,12,3,0.25
MUWO R17 - USA,14:30,15:30,12,7,0.583333333333333
MUWO R8D - Global,08:00,09:00,20,3,0.15
MUWO R8D - Global,09:30,10:00,20,1,0.05
MUWO R8D - Global,10:30,12:00,20,4,0.2
MUWO R33 - Argentinien,08:00,08:30,12,2,0.166666666666667
MUWO R33 - Argentinien,09:00,11:30,12,1,0.0833333333333333
MUWO R33 - Argentinien,12:15,12:45,12,2,0.166666666666667
MUWO R33 - Argentinien,12:45,13:00,12,6,0.5
MUWO R33 - Argentinien,13:00,13:30,12,7,0.583333333333333
MUWO R33 - Argentinien,13:30,14:00,12,5,0.416666666666667
MUWO R33 - Argentinien,14:00,15:00,12,1,0.0833333333333333
MUWO R14 - Dubai,08:15,08:45,10,3,0.3
MUWO R14 - Dubai,09:30,10:30,10,2,0.2
MUWO R14 - Dubai,10:30,11:00,10,3,0.3
MUWO R14 - Dubai,11:00,12:00,10,1,0.1
MUWO R14 - Dubai,13:00,15:00,10,5,0.5
MUWO R14 - Dubai,15:00,15:30,10,3,0.3
MUWO R9B - Australia,08:00,09:00,16,15,0.9375
MUWO R9B - Australia,09:00,10:00,16,1,0.0625
MUWO R9B - Australia,10:00,11:00,16,16,1
MUWO R9B - Australia,14:00,15:00,16,1,0.0625
MUWO R9B - Australia,15:00,18:00,16,2,0.125
MUWO R2 - France,08:30,09:30,6,2,0.333333333333333
MUWO R2 - France,10:00,11:00,6,4,0.666666666666667
MUWO R2 - France,11:00,12:00,6,2,0.333333333333333
MUWO R2 - France,13:00,13:30,6,2,0.333333333333333
MUWO R2 - France,14:00,15:30,6,3,0.5
MUWO R2 - France,15:30,16:30,6,2,0.333333333333333
MUWO R11 - Germany,00:00,00:00,12,1,0.0833333333333333
MUWO R8A - Global,07:30,16:30,36,1,0.0277777777777778
MUWO R39 - Austria,08:00,09:00,6,2,0.333333333333333
MUWO R39 - Austria,09:00,09:30,6,8,1.33333333333333
MUWO R39 - Austria,10:00,11:00,6,5,0.833333333333333
MUWO R39 - Austria,11:15,12:15,6,4,0.666666666666667
MUWO R39 - Austria,12:30,13:00,6,2,0.333333333333333
MUWO R39 - Austria,13:15,14:15,6,2,0.333333333333333
MUWO R39 - Austria,14:00,16:00,6,5,0.833333333333333
MUWO R40 - Croatia,09:30,11:00,12,2,0.166666666666667
MUWO R40 - Croatia,11:00,12:00,12,6,0.5
MUWO R40 - Croatia,12:30,13:30,12,2,0.166666666666667
MUWO R40 - Croatia,13:30,16:30,12,1,0.0833333333333333
MUWO R41 - Czechia,08:30,10:00,6,3,0.5
MUWO R41 - Czechia,10:00,11:00,6,7,1.16666666666667
MUWO R41 - Czechia,11:00,12:00,6,3,0.5
MUWO R41 - Czechia,13:00,13:30,6,4,0.666666666666667
MUWO R41 - Czechia,13:30,14:00,6,4,0.666666666666667
MUWO R42 - Greece,09:45,11:00,8,2,0.25
MUWO R42 - Greece,11:00,12:00,8,7,0.875
MUWO R42 - Greece,13:00,14:00,8,6,0.75
MUWO R42 - Greece,14:00,15:00,8,2,0.25
MUWO R42 - Greece,15:00,16:30,8,4,0.5
MUWO R43 - Hungary,08:00,09:00,8,8,1
MUWO R43 - Hungary,09:00,09:45,8,4,0.5
MUWO R43 - Hungary,10:00,11:00,8,2,0.25
MUWO R43 - Hungary,11:00,12:00,8,11,1.375
MUWO R43 - Hungary,13:00,14:00,8,9,1.125
MUWO R43 - Hungary,14:00,15:00,8,3,0.375
MUWO R43 - Hungary,15:00,16:30,8,8,1
MUWO R44 - Portugal,08:00,08:30,8,5,0.625
MUWO R44 - Portugal,09:00,11:00,8,2,0.25
